emp_no,first_name,last_name,gender,salary,dept_no
12223,Niteen,Koyama,F,54459,d004
12247,Subbu,Penttonen,F,59183,d005
12249,Eldridge,Sadowski,M,70099,d005
12256,Guadalupe,Reghbati,F,40000,d003
12264,Mart,Pagter,M,51816,d005
12270,Shakhar,Kornyak,M,52840,d008
12272,Behnaam,Grandbois,F,43811,d003
12308,Mototsugu,Cronau,M,58741,d003
12311,Susanne,Lubachevsky,M,40000,d005
12327,DAIDA,Bruckman,M,67449,d005
12341,Rasiah,Luga,M,40000,d005
12343,Sorina,Slaats,M,52134,d004
12365,Kamakshi,Bisiani,M,40000,d004
12373,Mooi,Driscoll,F,75986,d007
12395,Sanjit,Felder,M,66909,d002
12399,Mihalis,Luga,M,85582,d007
12411,Shao,Ibel,M,97610,d007
12413,Hugh,Gadepally,F,53179,d004
12417,Dannz,Spelt,F,67342,d004
12422,Berhard,Demos,F,71376,d003
12454,Kerryn,Farris,F,41347,d007
12464,Shai,Milicic,F,50448,d007
12475,Filipe,Roison,M,40000,d005
12487,Mona,Reghbati,F,40000,d002
12489,Arnould,Munck,F,63306,d005
12490,Jackson,Muchinsky,F,40000,d005
12497,Stein,Penz,M,81191,d007
12501,Morrie,Matheson,F,76082,d002
12504,Adly,Rosaz,F,40000,d004
12514,Tomofumi,Melter,M,54241,d005
12528,Conor,Cincotta,F,40000,d009
12534,Yongmao,Gerlach,M,66715,d004
12541,Shih,Nanard,M,93105,d007
12542,Kazuhide,Bouloucos,F,44176,d003
12551,Jeane,Tzvieli,M,40000,d004
12553,Aral,Vesna,M,40000,d003
12557,Stafford,Kopetz,M,41840,d004
12589,Anoosh,Chleq,M,59441,d005
12596,Breannda,Roisin,M,40000,d003
12601,Ghassan,Simkin,M,41714,d005
12608,Nectarios,Mondadori,M,40000,d003
12635,Xinyu,Restivo,F,40000,d009
12638,Yuqun,Seiwald,F,56677,d005
12642,Suebskul,Gips,F,68271,d001
12651,Pragnesh,Bael,M,75150,d007
12662,Leucio,Alvarado,M,69016,d005
12663,Nobuyoshi,Stellhorn,M,49966,d005
12664,Zhonghua,Parveen,M,40000,d009
12689,Luerbio,Boudaillier,M,59689,d005
12691,Oddvar,Gils,M,48493,d004
12697,Uri,Brizzi,M,40000,d003
12709,Ronghao,Botman,M,45510,d005
12717,Tzu,Jiafu,F,53194,d008
12722,Elliott,Cheshire,F,62325,d002
12726,Fumitake,Panwar,M,61177,d005
12729,Nahla,Rahier,F,51796,d009
12731,Yongmao,Waymire,F,40000,d003
12732,Mara,Takanami,M,74436,d007
12734,Gil,Frijda,M,40000,d005
12755,Rildo,Rodite,F,40196,d003
12773,Jenwei,Lovengreen,M,65556,d005
12790,Gunilla,Perl,F,87760,d007
12795,Masoud,Fordan,M,56969,d002
12798,Lillian,Beeson,F,81145,d007
12803,Gad,Boissier,M,91789,d001
12815,Sushant,Junot,M,65073,d008
12819,Mountaz,Gubsky,M,48455,d004
12848,Kazuhide,Smeets,M,40000,d005
12863,Leif,Matheson,M,62803,d004
12872,Marl,Schmittgen,F,56040,d007
12879,Baruch,Eugenio,M,40000,d005
12890,Neven,Casley,F,66803,d007
12893,Licheng,Crouzet,M,50803,d007
12895,Roddy,Serot,M,40000,d004
12905,Munehiro,Gecsei,M,58659,d005
12926,Heekeun,Luby,M,68314,d008
12940,Odinaldo,Farrar,F,49760,d005
12941,Tommaso,Perelgut,F,67069,d005
12949,Geoff,Asrin,F,40000,d005
12977,Byong,Markovitch,M,61326,d005
12983,Elliott,Hambrick,F,57252,d002
13030,Yahiko,Kroll,M,51770,d001
13046,Vivian,Stafford,M,40000,d002
13047,Atilio,Chelton,M,52323,d005
13075,Rosella,Morrin,M,40000,d001
13076,Deniz,Skafidas,F,50582,d005
13096,Ibibia,Armand,M,52544,d006
13103,Srinidhi,Ellozy,F,40000,d005
13124,Quingbo,Garnick,F,73785,d007
13133,Guther,Senzako,M,67777,d009
13134,Lorien,Chepyzhov,M,51227,d004
13144,Persi,Nollmann,M,52825,d002
13146,Haldon,Erie,M,61398,d007
13147,Shichao,Ginesta,M,77429,d007
13156,Akeel,Millington,M,48285,d005
13165,Lucian,Benner,F,42796,d006
13168,Munir,Stentiford,F,49210,d004
13170,Cheong,Bernardeschi,M,49012,d003
13171,Anoosh,Birnbaum,M,40000,d006
13173,Arve,Horswill,M,46354,d007
13179,Moty,Janocha,M,90233,d007
13182,Kokou,Rodite,M,46832,d004
13186,Kyoichi,Barbanera,M,93138,d007
13192,Rosita,Flowers,M,43986,d004
13202,Aram,Scharstein,F,51915,d008
13210,Jianhua,Klassen,M,83961,d001
13213,Hein,Billawala,M,61131,d007
13232,Mitchel,Fujisaki,F,40000,d005
13233,Alselm,Chvatal,M,49414,d005
13238,Ebru,Foote,F,40000,d007
13240,King,Pileggi,M,49018,d005
13250,Zeydy,Schusler,M,47829,d004
13272,Arun,Jiang,F,40000,d009
13276,Yechiam,Seuren,M,65836,d002
13288,Muneo,Broomell,F,40000,d003
13291,Georg,Stamatiou,M,54720,d005
13302,Mack,Alencar,F,40000,d005
13315,Sakthirel,Stroustrup,F,40000,d005
13332,Nidapan,Pearson,F,40000,d004
13333,Yoshinari,Hennebert,M,50997,d004
13341,Bodh,Doering,F,40000,d001
13343,Heon,Usery,M,40000,d002
13368,Kiyokazu,Klassen,M,52872,d003
13371,Nakhoon,Riexinger,F,40000,d004
13373,Juichirou,Naumovich,M,82749,d003
13385,Claudi,Buchter,M,40000,d003
13386,Khosrow,Sgarro,F,91420,d005
13389,Divine,Cmelik,F,40000,d008
13392,Fumitake,Beidas,F,69221,d007
13396,Chuanyi,Aumann,F,40000,d009
13402,Augustine,Dulli,M,40000,d008
13405,Randy,Baba,F,60799,d007
13407,Gio,Chenoweth,M,60348,d004
13408,Sreekrishna,Lagarias,M,52479,d004
13415,Nathalie,Speer,F,61838,d006
13422,Vishwani,Gerlach,F,59466,d006
13442,Giordano,Miake,M,40000,d003
13443,Mayuko,Puppo,M,40000,d006
13445,Renee,Dehkordi,M,53194,d004
13451,Gretta,Weiland,M,40000,d003
13457,Shooichi,Parfitt,M,40812,d006
13458,Feipei,Nivat,F,41375,d009
13463,Theron,Berstel,F,40000,d004
13465,Sasan,Rehfuss,M,49821,d004
13493,Uinam,Jullig,F,40000,d005
13504,Parto,Mandell,F,41895,d005
13524,Chaoyi,Porotnikoff,F,52849,d007
13535,Arunas,Schlenzig,F,40000,d004
13546,Aimee,Brookner,F,50295,d004
13549,Matk,Koprowski,M,40000,d005
13552,Ingmar,Capobianchi,M,73346,d008
13576,Jungsoon,Engberts,F,73022,d005
13605,Dmitry,Encarnacion,F,70404,d007
13621,Fei,Haddadi,M,73192,d005
13624,Zhigen,Yurek,M,40000,d003
13629,Dzung,Trelles,M,40000,d005
13648,Zejun,Lamba,F,47723,d004
13653,Kristen,Iivonen,M,53242,d003
13670,Moti,Takanami,F,40000,d005
13680,Denny,Speer,M,46968,d007
13685,Weicheng,Hockney,F,48322,d005
13697,Shuichi,Weedon,M,40000,d005
13704,Vishu,Kumaresan,F,40000,d004
13721,Sugwoo,Delgrossi,F,64754,d007
13727,Vitali,Merey,M,50798,d003
13738,Bangqing,Mitchem,F,48349,d005
13766,Tremaine,Heemskerk,M,43748,d009
13769,Yakichi,Trogemann,F,61025,d007
13775,Arve,Maierhofer,M,70161,d007
13786,Takushi,Berendt,F,74494,d007
13787,Xiaobin,Sinicrope,F,40000,d004
13792,Valery,Sury,M,59127,d002
13796,Paloma,Thorelli,M,50962,d005
13809,Kiyotoshi,Basagni,M,43735,d009
13815,Guadalupe,Plotkin,M,40000,d004
13825,Arlette,Pell,M,54704,d004
13841,Christophe,Spinelli,M,52277,d006
13842,Juichirou,Cichocki,F,40000,d008
13846,Guiseppe,Welham,M,61097,d008
13853,Mingsen,Roohalamini,M,61615,d008
13859,Anoosh,Fujisawa,M,40000,d005
13884,Kensei,Swift,M,44785,d004
13894,Ult,Schonegge,F,48958,d004
13904,Youngkon,Cairo,M,73885,d005
13934,Shiv,Bratsberg,F,46507,d005
13942,Elzbieta,Esteva,M,40000,d005
13951,Mooi,Genther,F,82054,d007
13960,Nechama,Hettesheimer,M,43204,d002
13962,Maris,Ghelli,M,67965,d004
13966,Boguslaw,Cooman,F,40000,d009
13969,Jianwen,Chandrasekhar,F,60392,d005
13990,Deborah,Schapiro,F,52723,d005
13992,Ulises,Kenevan,M,81318,d002
13999,Florian,Crouzet,M,40000,d003
14005,Vojin,Stellhorn,M,40000,d005
14015,Manibrata,Picaronny,M,63084,d006
14034,Aloys,Seghrouchni,M,69700,d002
14041,Shan,DeMori,F,63235,d001
14067,Godehard,Trachtenberg,M,44669,d004
14088,Mori,Leslie,M,44821,d008
14107,Xiahua,Rindone,M,82396,d001
14111,Leszek,Cummings,F,52696,d009
14118,Kasturi,Anido,M,46248,d009
14167,Adas,Hertweck,F,40000,d004
14191,Jiann,Luby,F,40155,d005
14209,Masanao,Kusakabe,F,40000,d008
14220,Tomofumi,Pargas,F,68017,d004
14232,Masali,Bojadziev,M,50568,d005
14236,Xuedong,Angiulli,F,40000,d008
14237,Abdulla,Gerlach,F,57219,d009
14242,Sudhanshu,Benaini,F,40000,d009
14257,Kwok,Massonet,F,40000,d004
14290,Miyeon,Olivero,M,78736,d004
14292,Susanna,Vigier,F,41846,d008
14298,Chriss,Granlund,F,40000,d004
14310,Marlo,Leuchs,M,40000,d007
14320,Sreenivas,Schaar,M,40000,d004
14322,Shem,Kakkad,M,50363,d005
14323,Golgen,Leslie,F,40000,d004
14340,Vitaly,Wixon,M,42858,d004
14344,Otilia,Buescher,F,41979,d004
14354,Mong,Bojadziev,M,40000,d007
14360,Janche,Erbe,M,43476,d008
14372,Saniya,Srimani,F,57667,d008
14384,Tomofumi,Holburn,F,58260,d005
14422,Toshimo,Gadepally,M,59001,d004
14434,Elvis,Maginnis,M,40000,d005
14439,Raimond,Woycyznski,M,80654,d006
14460,Yagil,Lueh,F,56267,d004
14478,Munehiro,Boissier,F,40000,d007
14481,Moti,Lammel,M,40000,d004
14483,Supot,Marrevee,M,40000,d005
14486,Indrajit,Birdsall,M,40000,d004
14498,Xiong,Selenyi,M,40000,d003
14501,Taizo,Kroft,M,63646,d004
14509,Danil,Aloia,M,40000,d002
14513,Samphel,Barreiro,M,83273,d001
14515,Kazuhisa,Versino,F,61645,d006
14516,Kristian,Underwood,F,73262,d007
14518,Patricia,Peir,M,64238,d004
14522,Chuanyi,Ranta,F,40000,d002
14537,Babette,Engelmann,F,48332,d006
14552,Ibibia,Snyers,M,40000,d005
14556,Fatemeh,Zultner,M,40000,d004
14560,Elrique,Driscoll,M,62770,d005
14581,Gao,Condotta,F,59499,d005
14582,Kiyokazu,Morrin,M,40000,d005
14600,Jayson,Cairo,F,41352,d009
14603,Lech,Marquardt,M,55369,d005
14607,Suzette,Selvestrel,M,67813,d007
14620,Jianhua,Erev,F,53303,d004
14621,Souichi,Wixon,F,66404,d007
14632,Gudjon,McClurg,M,40000,d006
14639,Arvind,Hempstead,F,79405,d007
14640,Toshimori,Kornatzky,M,42662,d005
14642,Florian,Kuhnemann,F,54553,d005
14645,Laurentiu,Glinert,F,45647,d005
14648,IEEE,Lorys,M,89209,d007
14659,Sashi,Adachi,F,40926,d006
14675,Teunis,Angel,F,40000,d003
14677,Herbert,Sifakis,M,40000,d004
14683,Alois,Basart,M,41107,d009
14690,Yechezkel,Bellone,F,40000,d005
14693,Brewster,Stranks,F,59960,d009
14710,Mahmut,Hainaut,F,40341,d001
14723,Constantino,Assaf,M,40000,d003
14724,Aron,Lemarechal,M,66530,d002
14780,Marlo,Bruckman,F,51232,d004
14785,Zhonghua,Kaiser,M,46936,d009
14793,Stein,Uchoa,M,47045,d005
14814,Odysseas,Nishimukai,M,40000,d009
14817,Gaurav,Masaki,M,41203,d008
14821,Oguz,Kilgore,M,42545,d005
14839,Changho,Cronin,M,40000,d005
14853,Taiji,Nergos,F,58311,d005
14877,Arto,Meriste,M,40000,d005
14879,Anyuan,Sigstam,M,54322,d005
14888,Temple,Barriga,F,60916,d007
14899,Alejandro,Casley,M,64365,d007
14906,Adil,Parveen,F,54758,d008
14908,Kerhong,Flanders,F,40000,d004
14909,Mohan,Kamble,M,40000,d005
14911,Xiaobin,Chelton,F,62738,d004
14914,Gretta,Benzaken,F,40000,d005
14915,Huican,Picco,M,40733,d004
14923,Shuzo,Gyorkos,M,40000,d005
14928,Satoru,Mukaidono,F,53377,d003
14941,Nathan,Lichtner,M,43608,d005
14942,Heon,Benveniste,M,40000,d006
14949,Insup,Reinhart,F,44930,d004
14954,Fox,Magliocco,F,43510,d005
14971,Fan,Simmen,M,55187,d002
14983,Hyuckchul,Pouyioutas,M,86754,d001
14993,Sanjay,Koblitz,M,45407,d005
15005,Kiam,Sadowsky,M,50368,d004
15016,Woody,Gulik,F,40000,d002
15018,Ramalingam,Prenel,F,40668,d001
15019,Qingxiang,Shokrollahi,F,41721,d006
15029,Giordano,Koshino,M,40000,d009
15030,Rasikan,Nourani,M,40000,d007
15036,Ziva,Delgrande,M,40000,d005
15049,Khun,Waymire,F,40000,d009
15052,Flemming,Kranzdorf,M,40630,d004
15055,Shrikanth,Sherertz,M,40000,d008
15066,Tomokazu,Oaver,M,43455,d005
15069,Manton,Siksek,M,40000,d004
15071,Ayonca,Couchot,F,97484,d007
15075,Radoslaw,Rijsenbrij,M,40000,d004
15077,Toshiki,Taubenfeld,F,40000,d004
15082,Guadalupe,Zirintsis,F,63024,d005
15087,Chirstian,Ushiama,F,40000,d004
15089,Giri,Coney,F,48594,d005
15092,Remmert,Bahi,F,40000,d009
15102,Luigi,Axelband,F,40374,d004
15105,Sudhanshu,Itzigehl,M,75800,d001
15114,Pantung,Honglei,M,40000,d005
15134,Arun,Luiz,F,62752,d007
15145,Haldon,Servieres,M,51443,d004
15151,Urs,Pouyioutas,F,61253,d001
15176,Charlene,Sankaranarayanan,M,98401,d007
15193,Neelam,Schach,M,47039,d005
15196,Souichi,Duclos,M,55824,d005
15202,Pranay,Irland,M,40000,d004
15208,Sudharsan,Shokrollahi,F,44109,d008
15218,Shuky,Conry,M,44614,d002
15228,Mona,Salvesen,M,40000,d003
15230,Keiichiro,Suessmith,F,70187,d005
15234,Jouko,Zhiwei,F,47654,d005
15237,Reinhard,Sadowsky,M,40000,d005
15243,Mountaz,Famili,F,41015,d002
15248,Edwin,Baar,M,64696,d001
15253,Ayonca,Pardalos,M,40396,d004
15269,Eric,Reghbati,F,60930,d004
15271,Shiv,Bernardeschi,F,88026,d007
15292,Miyeon,Lammel,M,87586,d007
15324,Ziya,Lunn,M,40000,d004
15329,Fan,Openshaw,F,41839,d005
15330,Jaroslava,Chinal,M,53020,d007
15337,Masaru,Radivojevic,M,40000,d006
15343,Chaosheng,Luce,F,48936,d006
15354,Chikara,Nyrup,M,40782,d009
15365,Mikhail,Schiettecatte,M,41309,d005
15369,Premal,Penttonen,F,81954,d007
15370,Chuanyi,Nilsson,F,67631,d008
15372,Nahum,Broder,M,79245,d007
15375,Shuho,Manders,F,65920,d002
15377,Shugo,Aumann,M,50274,d005
15382,Alassane,Siegrist,M,66083,d007
15392,Pradeep,Markovitch,M,55638,d005
15408,Maik,Penttonen,F,40000,d008
15410,Wilmer,Kushner,F,58123,d001
15412,Huai,Thiria,M,62190,d005
15438,Constantijn,Munoz,F,43326,d002
15441,Arvind,Weisert,F,40000,d008
15452,Kazuhira,Weedman,M,40000,d005
15454,Hongzue,Cesareni,F,57571,d007
15470,Weiwu,Huhdanpaa,M,40693,d004
15474,Gilbert,Plumb,M,90430,d007
15479,Zhenbing,Soicher,M,40000,d004
15480,Kwok,Trogemann,M,47645,d005
15504,Kasturi,Alpin,M,40000,d005
15505,Collette,Mikschl,F,56848,d004
15510,Inderjeet,Sethi,M,48661,d005
15511,George,Kowalchuk,F,76880,d007
15518,Uno,Valtorta,F,55563,d005
15525,Masadi,Cherinka,M,40000,d005
15534,Guozhong,Grabner,F,63090,d002
15543,Mingdong,Staelin,F,40000,d004
15548,Sanjai,Caine,M,48171,d008
15563,Constantino,Zykh,M,56239,d009
15565,True,Muchinsky,M,73532,d001
15566,Baoqiu,Azuma,M,61655,d007
15600,Mack,Perna,M,40000,d004
15601,Carrsten,Anily,F,83263,d007
15651,Huan,Iwayama,F,50313,d004
15656,Mohammad,Schaaf,M,66141,d001
15682,Hiroyasu,Przulj,M,40000,d006
15687,Dekang,Ambroszkiewicz,M,62333,d002
15703,Chenye,Hanratty,M,40000,d005
15708,Reuven,Kushnir,F,85063,d007
15714,Troy,Bala,F,40000,d004
15715,Insup,Ibel,F,40000,d001
15726,Zhilian,Parascandalo,M,70522,d001
15739,Poorav,Bahr,F,54605,d005
15740,Stepehn,Pocchiola,M,57994,d007
15750,Arumugam,Bresenham,M,40000,d004
15765,Tonny,Taubenfeld,F,40000,d005
15767,Baocai,Broomell,M,40000,d004
15769,Pranay,Oskamp,M,61575,d001
15788,Taegyun,Deyuan,M,53521,d004
15799,Manton,Gelosh,M,64458,d007
15809,Mingsen,Antonisse,M,50619,d002
15819,Magdalena,Rajcani,M,63847,d001
15821,Aleksander,Antonakopoulos,M,40000,d005
15846,Bowen,Litecky,M,40000,d004
15861,Gio,Anido,F,50890,d001
15866,Angel,Seiwald,M,40000,d004
15869,Guoxiang,Bala,M,40000,d004
15876,Munehiro,Vakili,F,51140,d005
15877,Yannik,Kroll,M,40000,d004
15880,Miquel,Dechter,M,40000,d004
15889,Sasan,Azumi,M,63393,d005
